id,syllabus,cluster,topic,skill,marks,tier,figureRequired,question,context,figure_description,figure_caption,notes
"q1","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Explain","4","free","False","Explain how human activities have contributed to the enhanced greenhouse effect.","","","",""
"q2","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Describe","3","free","False","Describe the relationship between solar activity and global surface temperature changes shown in Fig. 2.3.","The graph shows solar activity (watts/m²) and global surface temperature change (°C) from 1880 to 2020.","Fig. 2.3 — Solar activity vs global surface temperature 1880–2020","Solar activity remains relatively flat while temperature rises sharply post-1950. The divergence is key to your answer.",""
"q3","O-Elective | O-Pure","Climate","Climate Action","Evaluate","9","free","False","'Adaptation strategies are more effective than mitigation strategies in managing the impacts of climate change.' To what extent do you agree with this statement? Explain your answer.","","","",""
"q3n","N-Elective | N-Pure","Climate","Climate Action","Evaluate","6","free","False","'Adaptation strategies are more effective than mitigation strategies in managing the impacts of climate change.' To what extent do you agree with this statement? Explain your answer.","","","",""
"q4","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Weather and Climate","Describe","3","free","False","Describe the temperature and rainfall characteristics of an equatorial climate.","","","",""
"q5","O-Elective | O-Pure","Climate","Climate Action","Evaluate","6","free","False","'Mitigation strategies adopted by countries to build climatic resilience can only be partially effective.' To what extent do you agree with this statement? Explain your answer.","","","",""
"q6","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Explain","2","paid","False","Explain why urban areas tend to experience higher temperatures than surrounding rural areas.","","","",""
"q7","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Change","Explain","4","paid","False","Explain how rising sea levels caused by climate change can result in economic losses for coastal communities.","","","",""
"q8","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Climate Action","Evaluate","3","paid","False","Evaluate the effectiveness of international agreements such as the Paris Agreement in reducing global carbon emissions.","","","",""
"q9","O-Elective | O-Pure | N-Elective | N-Pure","Climate","Weather and Climate","Describe","3","paid","False","Describe the rainfall pattern shown in Fig. 2.2.","Total annual rainfall: 1909mm.","Fig. 2.2 — Climate graph, tropical monsoon location","Distinct wet season (Jun–Oct) and dry season (Nov–May). Cite at least two specific monthly figures.",""
